model;dt;re-plan after #timesteps;planning horizon;v_min [m/s];v_max [m/s];a_min [m/s^2];a_max [m/s^2];delta_min [radians];delta_max [radians];v_delta_min [radians/s];v_delta_max [radians/s];road name;road completion;objective name;objective value;avg solve time;Standard deviation;max solve time;min solve time;url animation;url stats
Point Mass;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.96%;minimize_control_derivatives;73741.29;3.57ms;0.40ms;7.00ms;0.81ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-PointMassModel-78592485-d2af-47c4-b08d-b3b624eb63a4/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.96%;minimize_control_derivatives;44252.63;7.12ms;0.67ms;14.06ms;2.99ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-BicycleModel-7da63c71-fb07-42f5-b68c-c93c674d8618/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;95.97%;minimize_control_derivatives;67331.94;3.63ms;0.36ms;6.67ms;1.53ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-PointMassModel-dfc34ff4-f89c-4294-9fd3-4f5a9fa521fc/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;95.98%;minimize_control_derivatives;53800.35;7.23ms;0.59ms;12.03ms;1.58ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-BicycleModel-469ebf23-a69b-4039-aa43-054e7cad5a6e/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;95.95%;minimize_control_derivatives;1471410.81;3.58ms;0.44ms;6.59ms;1.41ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-PointMassModel-7d869006-340e-4b5e-9ad0-ecfbead98ca6/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;95.95%;minimize_control_derivatives;129131.98;7.09ms;0.66ms;9.85ms;2.73ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-BicycleModel-92cda4ba-bba0-4433-b606-a5479085b31d/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;35.43%;minimize_control_derivatives;1285712.49;4.02ms;1.03ms;16.54ms;3.49ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-PointMassModel-ef62abe7-79c7-492a-acb6-041a49bb490f/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;95.98%;minimize_control_derivatives;320106.49;7.23ms;0.83ms;19.71ms;2.61ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-BicycleModel-29be23b8-b800-4e3f-9dd4-53da60f21f5d/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;94.96%;minimize_control_derivatives;1995468.68;4.64ms;1.57ms;16.05ms;1.34ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-PointMassModel-a8c4fd8a-a974-4a31-a971-963646263fb7/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;95.01%;minimize_control_derivatives;2756658.66;8.92ms;2.32ms;24.31ms;1.51ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-BicycleModel-cb7d8072-4683-47e4-8dae-c327d30d603a/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;63.60%;minimize_control_derivatives;1050099.52;3.61ms;0.26ms;4.53ms;3.14ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-PointMassModel-98cf1a7f-35cb-495d-8c03-8f4ee24c5bb8/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;74.32%;minimize_control_derivatives;3962719.68;8.03ms;0.78ms;10.29ms;7.00ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-BicycleModel-eb7c90e9-3f22-4bd3-9b4d-29580ecbeeff/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;44.18%;minimize_control_derivatives;670475.16;3.64ms;0.26ms;4.53ms;3.23ms;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-PointMassModel-4731859d-9388-4583-99ab-eb8836cf381a/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;37.37%;minimize_control_derivatives;854798.29;8.40ms;1.42ms;14.89ms;7.29ms;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-BicycleModel-a98018ec-910d-4c31-8c0d-dbe47a2199d8/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;14.57%;minimize_control_derivatives;9165839.33;4.00ms;0.44ms;5.68ms;3.39ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-PointMassModel-45eacbe1-0036-4458-9b74-42bce6c7e2af/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;11.14%;minimize_control_derivatives;496938.12;8.38ms;0.84ms;11.01ms;7.50ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-BicycleModel-71333d58-2b08-466e-96ba-b29774565e59/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.92%;minimize_control_derivatives;68303.17;3.54ms;0.46ms;5.80ms;1.05ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-PointMassModel-c955b80e-3db9-4f31-9fcf-813075334c7e/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.92%;minimize_control_derivatives;44674.11;7.08ms;0.63ms;8.66ms;2.36ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-BicycleModel-d09118e9-4b51-448d-a878-ea62c0a70a13/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;95.95%;minimize_control_derivatives;51196.61;3.78ms;1.57ms;27.94ms;2.31ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-PointMassModel-35523f0c-e0d3-4b70-9c64-2bea1fbf4181/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;23.15%;minimize_control_derivatives;2547323.75;8.67ms;1.55ms;14.34ms;6.95ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-BicycleModel-dfbf9abf-2703-4fe7-9fde-4e890372412b/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;95.88%;minimize_control_derivatives;1494765.55;3.36ms;0.80ms;9.37ms;1.83ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-PointMassModel-436bea72-24d1-48cd-861d-c49897131b57/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;55.95%;minimize_control_derivatives;1660838.44;8.21ms;1.21ms;14.87ms;7.06ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-BicycleModel-a687bd86-c40a-4061-96ce-92e4e38e89bb/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;95.97%;minimize_control_derivatives;4756883.95;2.96ms;0.50ms;7.38ms;2.08ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-PointMassModel-f0edc845-b1b2-4595-b5cd-fe032fa392a3/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;15.51%;minimize_control_derivatives;1479928.23;9.00ms;3.13ms;27.57ms;6.97ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-BicycleModel-c8ed1627-25b4-4b73-8210-dd0b9c4dfe5b/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;94.92%;minimize_control_derivatives;2698541.98;5.07ms;2.01ms;16.46ms;1.72ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-PointMassModel-d4e6d413-8f3f-4c49-88e0-d52e109f6d7d/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;43.95%;minimize_control_derivatives;1269009.41;14.75ms;4.74ms;25.57ms;9.44ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-BicycleModel-a85ae1ce-4bcd-4e21-8c0f-fdcfb8e6c046/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;41.60%;minimize_control_derivatives;1158620.18;5.30ms;3.54ms;20.08ms;3.33ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-PointMassModel-2af85f5f-f558-4fd7-a923-ff2f282dcac2/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;35.46%;minimize_control_derivatives;1444282.68;9.92ms;1.42ms;14.77ms;8.34ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-BicycleModel-a0cb63a2-6836-4d6e-907d-a819ce54a582/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;45.28%;minimize_control_derivatives;811843.87;5.70ms;2.55ms;17.13ms;3.72ms;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-PointMassModel-7bd9cd24-3cb3-4c47-8d54-754a7a7fab58/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;28.03%;minimize_control_derivatives;196767.44;15.66ms;8.63ms;45.89ms;9.75ms;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-BicycleModel-34296ec3-7eed-45bb-8951-6d0b910cbbd3/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;13.25%;minimize_control_derivatives;5894760.78;6.29ms;2.22ms;15.01ms;3.95ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-PointMassModel-eafe64a2-d346-4cc0-87ea-f2bf355b515b/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;66.99%;minimize_control_derivatives;10723086.05;10.66ms;3.62ms;36.49ms;7.05ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-BicycleModel-b4f051a0-6967-4cf7-9374-88ee927e12fd/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.84%;minimize_control_derivatives;128212.04;4.05ms;1.28ms;9.78ms;1.01ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-PointMassModel-7b543c9f-4b88-4789-a2c6-60e08e695645/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.89%;minimize_control_derivatives;33486.30;9.32ms;4.11ms;39.49ms;4.07ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-BicycleModel-8121838a-a9e8-492c-8ed7-ca39fc8ce768/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;95.90%;minimize_control_derivatives;258476.12;5.03ms;4.00ms;50.90ms;1.16ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-PointMassModel-7ec0b39c-ce13-4db3-9e11-087cac53d71b/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;14.60%;minimize_control_derivatives;1165120.26;10.45ms;2.21ms;16.42ms;8.31ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-BicycleModel-fedbd5e4-280c-4fb1-abed-b8bd9c1bae23/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;38.35%;minimize_control_derivatives;1017420.00;5.93ms;2.20ms;10.86ms;3.68ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-PointMassModel-5ee1f7d9-0739-4e35-9ca6-ae5b55e04ec0/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;40.83%;minimize_control_derivatives;377886.45;13.42ms;3.94ms;20.41ms;9.40ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-BicycleModel-dafc8967-794d-4d5e-b8ab-e83b7422f87b/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;0%;minimize_control_derivatives;0.00;-;-;-;-;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-PointMassModel-5bb05300-6b0b-48db-ab8b-0843cc2709c1/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;9.16%;minimize_control_derivatives;465898.75;10.93ms;1.53ms;14.60ms;8.81ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-BicycleModel-dd2c1ef0-977f-412e-869b-26c9d475b820/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;41.36%;minimize_control_derivatives;3850328.56;8.99ms;5.46ms;28.06ms;5.60ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-PointMassModel-d739ebce-32e3-46d3-bea0-173222ecd505/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;21.67%;minimize_control_derivatives;2204129.28;16.71ms;4.46ms;25.46ms;11.38ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-BicycleModel-3cd29a54-fbad-4b83-95e7-c79d7322ec63/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;39.56%;minimize_control_derivatives;745836.01;5.53ms;1.68ms;9.38ms;3.76ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-PointMassModel-517fe024-4740-4642-8679-c075af9bb159/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;30.01%;minimize_control_derivatives;1479374.76;10.20ms;0.62ms;11.05ms;9.25ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-BicycleModel-75e71ee8-ca1e-41a6-8e84-574d8505fe87/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;44.78%;minimize_control_derivatives;991620.41;5.36ms;1.97ms;10.30ms;3.68ms;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-PointMassModel-07175623-686e-4650-9626-ad988bed427d/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;0%;minimize_control_derivatives;0.00;-;-;-;-;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-BicycleModel-20bd36b1-4006-4352-9976-0700e4ae8e87/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;0%;minimize_control_derivatives;0.00;-;-;-;-;-;"=HYPERLINK(""http://wg-server.net:8000/random-PointMassModel-9677e9f9-4a78-412c-9d1a-40857d411768/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;10.96%;minimize_control_derivatives;506018.26;12.43ms;1.72ms;17.22ms;10.96ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-BicycleModel-09b078ef-0ee7-4bf2-a1b7-589c512557f1/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.97%;minimize_control_derivatives_offset_maximize_distance;-7359401.78;4.79ms;0.79ms;9.34ms;1.73ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-PointMassModel-727c8475-a237-46dc-b5df-74b3f9ed88ed/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.97%;minimize_control_derivatives_offset_maximize_distance;-8637130.36;11.37ms;5.67ms;108.46ms;2.90ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-BicycleModel-1a6a43a7-4d97-45c5-acab-b4c76b8f12d8/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;95.98%;minimize_control_derivatives_offset_maximize_distance;-9111507.78;5.04ms;1.14ms;12.49ms;1.97ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-PointMassModel-5530d784-d578-4edb-a3be-ae48bb158a3e/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;95.96%;minimize_control_derivatives_offset_maximize_distance;-10677400.60;11.42ms;1.81ms;25.55ms;5.63ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-BicycleModel-3c7723fc-6b10-4ff6-8e82-eea3ab532588/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;95.94%;minimize_control_derivatives_offset_maximize_distance;-461068.97;4.59ms;0.90ms;11.23ms;1.34ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-PointMassModel-53c2ce8b-9fd6-401b-ab51-43d28f19fef4/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;95.93%;minimize_control_derivatives_offset_maximize_distance;-4525548.14;10.93ms;1.86ms;18.90ms;1.90ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-BicycleModel-5a9ae50f-e0d5-4b98-a655-d561ca1a3982/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;35.45%;minimize_control_derivatives_offset_maximize_distance;-3776792.40;4.81ms;0.92ms;16.16ms;4.03ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-PointMassModel-143ca497-11db-413a-ba83-a3e02c419552/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;95.98%;minimize_control_derivatives_offset_maximize_distance;-11886022.66;10.67ms;1.50ms;29.05ms;2.87ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-BicycleModel-2b455215-c4eb-442a-a354-cd4301f05881/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;94.95%;minimize_control_derivatives_offset_maximize_distance;4649002.53;5.25ms;0.96ms;6.91ms;1.87ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-PointMassModel-4ad5254b-9f45-4118-8464-6944b12e8947/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;94.96%;minimize_control_derivatives_offset_maximize_distance;-1996377.21;11.53ms;1.82ms;15.30ms;4.39ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-BicycleModel-153b8d6d-3096-41c6-8704-4832e722d46e/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;62.05%;minimize_control_derivatives_offset_maximize_distance;29070.30;4.70ms;1.61ms;15.71ms;3.60ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-PointMassModel-f4cc707d-bcf1-4073-88ba-e618637faeea/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;94.55%;minimize_control_derivatives_offset_maximize_distance;5612404.10;10.11ms;2.60ms;24.30ms;1.79ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-BicycleModel-8506d3f4-0a7d-4aaa-8040-f5b8a5ddde65/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;46.14%;minimize_control_derivatives_offset_maximize_distance;-236563.18;4.41ms;0.56ms;7.67ms;3.80ms;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-PointMassModel-6505fe1c-3a52-4f48-87be-c7b657c3cbb7/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;45.07%;minimize_control_derivatives_offset_maximize_distance;743304.22;11.14ms;2.33ms;23.36ms;8.77ms;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-BicycleModel-238a4720-2612-40a6-9731-651e5d825060/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;15.08%;minimize_control_derivatives_offset_maximize_distance;15501112.76;4.99ms;0.72ms;8.32ms;4.20ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-PointMassModel-bb74254e-8fad-465d-9b56-e80b2f9d630b/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;95.97%;minimize_control_derivatives_offset_maximize_distance;-6001571.24;11.02ms;1.71ms;26.30ms;3.04ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-BicycleModel-6eabb1de-749e-4b64-b28a-1e8c3a96cb48/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.94%;minimize_control_derivatives_offset_maximize_distance;-3330960.07;5.11ms;1.99ms;19.83ms;2.02ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-PointMassModel-d2bd27e5-6bf2-4eb9-84ec-11fc93e69d2e/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.94%;minimize_control_derivatives_offset_maximize_distance;-5180926.69;11.42ms;2.48ms;33.88ms;3.58ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-BicycleModel-49b5dc76-37c4-4441-b441-711488762e02/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;95.92%;minimize_control_derivatives_offset_maximize_distance;-5417095.53;4.55ms;0.56ms;7.94ms;1.96ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-PointMassModel-0e1f412c-378e-49eb-a392-f54ab309b462/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;95.95%;minimize_control_derivatives_offset_maximize_distance;-6363613.17;10.73ms;1.14ms;17.80ms;5.52ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-BicycleModel-0f2de159-3518-40b8-bae5-5cdf4d85dc22/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;95.84%;minimize_control_derivatives_offset_maximize_distance;1476326.01;3.55ms;0.58ms;4.84ms;2.03ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-PointMassModel-041f8f98-1b17-44a5-8034-e3045fcd2196/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;95.83%;minimize_control_derivatives_offset_maximize_distance;-2456073.70;9.91ms;1.37ms;11.79ms;2.28ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-BicycleModel-edbe90d1-d44b-4af0-ac5a-9e74729deaa5/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;95.95%;minimize_control_derivatives_offset_maximize_distance;-3244109.23;3.14ms;0.36ms;4.83ms;1.87ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-PointMassModel-44e48f14-d19d-4b3f-b484-f84f67a1bcf5/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;95.97%;minimize_control_derivatives_offset_maximize_distance;-7148533.65;10.66ms;1.43ms;21.62ms;1.75ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-BicycleModel-f33181f3-900a-45bf-88f1-ebadf0bf8a1e/stats.pdf""; ""Stats"")"
