model;dt;re-plan after #timesteps;planning horizon;v_min [m/s];v_max [m/s];a_min [m/s^2];a_max [m/s^2];delta_min [radians];delta_max [radians];v_delta_min [radians/s];v_delta_max [radians/s];road name;road completion;objective name;objective value;avg solve time;Standard deviation;max solve time;min solve time;url animation;url stats
Bicycle;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.93%;minimize_offset_from_reference_path;-4175.72;6.28ms;0.81ms;13.27ms;1.96ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-BicycleModel-6e61cb23-6682-4e5c-86bf-ed4480c76071/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;95.94%;minimize_offset_from_reference_path;-5470.60;2.92ms;0.87ms;16.31ms;0.80ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-PointMassModel-f04789b7-0122-4c97-bdee-1dd563aec921/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;95.96%;minimize_offset_from_reference_path;-5273.35;6.66ms;2.39ms;41.28ms;2.46ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-BicycleModel-73e2636f-c3a3-40ad-8666-63989892c9c4/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;95.87%;minimize_offset_from_reference_path;-2337.71;3.18ms;3.28ms;51.90ms;1.13ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-PointMassModel-5730e628-4cb0-49d1-ac60-613ee3b3a9da/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;95.90%;minimize_offset_from_reference_path;-1900.17;6.25ms;1.02ms;12.67ms;2.00ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-BicycleModel-20edca95-c7ab-4258-990c-9092977dbef8/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;14.01%;minimize_offset_from_reference_path;-987.98;4.39ms;4.42ms;48.07ms;3.12ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-PointMassModel-b79152ca-3a7a-491b-8e34-4a89491d2751/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;95.95%;minimize_offset_from_reference_path;-5710.76;7.15ms;2.58ms;36.60ms;1.94ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-BicycleModel-f66ca211-ad71-4763-8787-56ab9823c797/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;94.94%;minimize_offset_from_reference_path;-1115.45;3.91ms;1.10ms;7.63ms;0.87ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-PointMassModel-55b27b84-9b10-4e5e-9701-8c75a5ea5b75/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;94.82%;minimize_offset_from_reference_path;-908.62;8.16ms;3.68ms;43.61ms;1.76ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-BicycleModel-cc047f4c-30d5-4b1a-8a66-2057bd668d30/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;69.83%;minimize_offset_from_reference_path;-888.83;3.04ms;0.28ms;4.66ms;2.52ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-PointMassModel-8696d38e-c6f9-46d5-a209-f31b3061e2f3/stats.pdf""; ""Stats"")"
